code_insee,nom_commune,departement,strate_perso,taux_tfpb,evol_2021_2024,rank_tfpb_dep_strate,ecart_tfpb_2024_vs_dep_strate_mean
62349,Fouquereuil,62,500-1999 hab,48.79,0.0,0.9755244755244756,10.651118881118885
62350,Fouquières-lès-Béthune,62,500-1999 hab,38.22,0.0,0.5454545454545454,0.0811188811188827
62351,Fouquières-lès-Lens,62,5000-9999 hab,47.43,-3.19,0.4583333333333333,-1.9997916666666669
62352,Framecourt,62,< 500 hab,37.77,0.0,0.7483296213808464,2.2167706013363078
62353,Frémicourt,62,< 500 hab,36.11,0.0,0.6013363028953229,0.5567706013363036
62354,Frencq,62,500-1999 hab,34.12,2.02,0.194055944055944,-4.018881118881119
62355,Fresnes-lès-Montauban,62,500-1999 hab,33.95,0.0,0.1783216783216783,-4.188881118881113
62356,Fresnicourt-le-Dolmen,62,500-1999 hab,38.15,0.0,0.5402097902097902,0.0111188811188824
62357,Fresnoy,62,< 500 hab,29.5,0.0,0.042316258351893,-6.053229398663696
62358,Fresnoy-en-Gohelle,62,< 500 hab,29.46,0.0,0.0400890868596882,-6.093229398663695
62359,Fressin,62,500-1999 hab,37.22,0.0,0.4702797202797202,-0.9188811188811172
62360,Fréthun,62,500-1999 hab,32.42,0.0,0.1223776223776223,-5.718881118881114
62361,Frévent,62,2000-3499 hab,49.91,-1.0,0.7346938775510204,5.101224489795911
62362,Frévillers,62,< 500 hab,37.97,0.0,0.7639198218262806,2.416770601336303
62363,Frévin-Capelle,62,< 500 hab,37.25,0.0,0.7060133630289532,1.6967706013363042
62364,Fruges,62,2000-3499 hab,47.26,0.0,0.6326530612244898,2.451224489795912
62365,Galametz,62,< 500 hab,35.45,0.64,0.5111358574610245,-0.1032293986636929
62366,Gauchin-Légal,62,< 500 hab,41.75,0.0,0.9376391982182628,6.196770601336304
62367,Gauchin-Verloingt,62,500-1999 hab,39.06,0.0,0.6188811188811189,0.9211188811188862
62368,Gaudiempré,62,< 500 hab,39.86,0.0,0.8841870824053452,4.306770601336304
62369,Gavrelle,62,500-1999 hab,29.02,0.0,0.0104895104895104,-9.118881118881117
62370,Gennes-Ivergny,62,< 500 hab,33.87,0.0,0.3407572383073496,-1.6832293986636984
62371,Givenchy-en-Gohelle,62,2000-3499 hab,48.61,0.0,0.7142857142857143,3.8012244897959135
62372,Givenchy-le-Noble,62,< 500 hab,35.54,0.7,0.5189309576837416,-0.0132293986636966
62373,Givenchy-lès-la-Bassée,62,500-1999 hab,29.03,0.0,0.0139860139860139,-9.108881118881117
62374,Gomiécourt,62,< 500 hab,29.56,0.0,0.0489977728285077,-5.993229398663697
62375,Gommecourt,62,< 500 hab,42.53,0.0,0.955456570155902,6.976770601336305
62376,Gonnehem,62,2000-3499 hab,51.32,0.0,0.7959183673469388,6.511224489795914
62377,Gosnay,62,500-1999 hab,43.82,0.0,0.8671328671328671,5.681118881118884
62378,Gouves,62,< 500 hab,35.26,0.0,0.4844097995545657,-0.2932293986636978
62379,Gouy-en-Artois,62,< 500 hab,34.48,0.0,0.4120267260579064,-1.073229398663699
62380,Gouy-Servins,62,< 500 hab,40.43,0.0,0.910913140311804,4.876770601336304
62381,Gouy-en-Ternois,62,< 500 hab,35.09,0.0,0.4732739420935412,-0.4632293986636924
62382,Gouy-Saint-André,62,500-1999 hab,39.5,0.77,0.6503496503496503,1.361118881118884
62383,Gouy-sous-Bellonne,62,500-1999 hab,38.62,0.0,0.583916083916084,0.4811188811188813
62384,Graincourt-lès-Havrincourt,62,500-1999 hab,31.91,0.0,0.1013986013986013,-6.228881118881116
62385,Grand-Rullecourt,62,< 500 hab,32.46,0.0,0.1915367483296214,-3.093229398663695
62386,Grenay,62,5000-9999 hab,62.6,0.0,0.9166666666666666,13.170208333333337
62387,Grévillers,62,< 500 hab,37.57,2.55,0.7383073496659243,2.0167706013363045
62388,Grigny,62,< 500 hab,35.64,0.0,0.532293986636971,0.0867706013363047
62389,Grincourt-lès-Pas,62,< 500 hab,35.96,0.0,0.5712694877505567,0.406770601336305
62390,Groffliers,62,500-1999 hab,42.72,0.0,0.8286713286713286,4.581118881118883
62391,Guarbecque,62,500-1999 hab,39.43,0.0,0.6468531468531469,1.2911188811188836
62392,Guémappe,62,< 500 hab,31.72,0.62,0.1269487750556792,-3.833229398663697
62393,Guemps,62,500-1999 hab,34.56,0.0,0.2132867132867132,-3.578881118881114
